SampleID;Strain;Time;Replicate
R1_NM_0_t1;Dagr;1H30;R1
R1_NM_0_t6;Dagr;6H;R1
R1_NM_0_t12;Dagr;12H;R1
R1_NM_I_t1;agr-I;1H30;R1
R1_NM_I_t6;agr-I;6H;R1
R1_NM_I_t12;agr-I;12H;R1
R1_NM_II_t1;agr-II;1H30;R1
R1_NM_II_t6;agr-II;6H;R1
R1_NM_II_t12;agr-II;12H;R1
R1_NM_III_t1;agr-III;1H30;R1
R1_NM_III_t6;agr-III;6H;R1
R1_NM_III_t12;agr-III;12H;R1
R1_NM_IV_t1;agr-IV;1H30;R1
R1_NM_IV_t6;agr-IV;6H;R1
R1_NM_IV_t12;agr-IV;12H;R1
R2_NM_0_t1;Dagr;1H30;R2
R2_NM_0_t6;Dagr;6H;R2
R2_NM_0_t12;Dagr;12H;R2
R2_NM_I_t1;agr-I;1H30;R2
R2_NM_I_t6;agr-I;6H;R2
R2_NM_I_t12;agr-I;12H;R2
R2_NM_II_t1;agr-II;1H30;R2
R2_NM_II_t6;agr-II;6H;R2
R2_NM_II_t12;agr-II;12H;R2
R2_NM_III_t1;agr-III;1H30;R2
R2_NM_III_t6;agr-III;6H;R2
R2_NM_III_t12;agr-III;12H;R2
R2_NM_IV_t1;agr-IV;1H30;R2
R2_NM_IV_t6;agr-IV;6H;R2
R2_NM_IV_t12;agr-IV;12H;R2
R3_NM_0_t1;Dagr;1H30;R3
R3_NM_0_t6;Dagr;6H;R3
R3_NM_0_t12;Dagr;12H;R3
R3_NM_I_t1;agr-I;1H30;R3
R3_NM_I_t6;agr-I;6H;R3
R3_NM_I_t12;agr-I;12H;R3
R3_NM_II_t1;agr-II;1H30;R3
R3_NM_II_t6;agr-II;6H;R3
R3_NM_II_t12;agr-II;12H;R3
R3_NM_III_t1;agr-III;1H30;R3
R3_NM_III_t6;agr-III;6H;R3
R3_NM_III_t12;agr-III;12H;R3
R3_NM_IV_t1;agr-IV;1H30;R3
R3_NM_IV_t6;agr-IV;6H;R3
R3_NM_IV_t12;agr-IV;12H;R3